ID,Station_ID,Nearby_Statio_ID,Weight
0,1,23,1.144565382
1,2,29,0.3728226
2,2,31,0.31689921
3,2,18,0.295772596
4,3,11,0.281481063
5,5,28,0.14912904
6,6,13,0.333676227
7,7,20,0.148507669
8,8,17,0.499582284
9,8,14,0.499582284
10,9,18,0.415697199
11,10,12,2.18101221
12,11,26,1.322277488
13,11,21,0.403269779
14,11,5,0.052816535
15,12,25,0.437445184
16,13,18,0.225557673
17,14,15,0.671702051
18,15,1,1.20545974
19,16,8,0.341132679
20,17,18,0.620749629
21,18,24,0.138565733
22,19,17,1.767179124
23,20,9,0.27961695
24,21,5,0.442416152
25,22,30,0.100040731
26,22,7,0.01
27,23,19,0.426881877
28,24,3,0.284587918
29,25,22,1.23031458
30,25,6,0.295772596
31,26,10,0.656167776
32,27,8,0.208780656
33,28,2,0.389599617
34,29,22,0.633177049
35,30,27,0.558612529
36,30,32,0.342996792
37,31,22,0.622613742
38,32,16,0.206295172
